category,upc,product_type,brand_name,generic_name,manufacturer_name,label_id,label_version,label_effective_time,purpose,indications_and_usage,active_ingredient,inactive_ingredient,dosage_and_administration,warnings
acne,354973808119,HUMAN OTC DRUG,SILICEA,SILICON DIOXIDE,Hyland's,60a01a76-0463-75e3-e053-2a91aa0ad385,2,2017-12-18,"Relief of symptoms of skin ailments including pimples, blackheads and blemishes associated with common acne. Relief of symptoms of brittle hair and nails.","indications relief of symptoms of skin ailments including pimples, blackheads and blemishes associated with common acne. relief of symptoms of brittle hair and nails.","FORMULA Silicea 6X HPUS in a base of Acacia Gum, Lactose N.F.","in a base of Acacia Gum, Lactose N.F.",DIRECTIONS Adults & Children ages 6 - 12: 4 tablets. Children ages 2 - 6: 2 tablets. Dissolve under tongue 3 times a day. Use more frequently (every 15 minutes for up to 8 doses) with acute conditions.,"Warnings Do not use if imprinted cap band is broken or missing. If symptoms persist for more than 7 days or worsen, contact a licensed health care provider. If you are pregnant or nursing, seek the advice of a licensed health care provider before using this product. Keep all medications out of the reach of children."
skin,354973113015,HUMAN OTC DRUG,Poison Ivy/Oak,"TOXICODENDRON RADICANS LEAF, CROTON TIGLIUM SEED, AND XEROPHYLLUM ASPHODELOIDES",Hyland's,60786358-513f-c7eb-e053-2a91aa0a451e,2,2017-12-16,"A homeopathic combination for symptomatic treatment after contact with poison ivy or oak. Skin breaks out with red, swollen, intensely itching, burning, watery blisters sometimes followed by oozing or crusting.","uses a homeopathic combination for symptomatic treatment after contact with poison ivy or oak. skin breaks out with red, swollen, intensely itching, burning, watery blisters sometimes followed by oozing or crusting.","Active ingredients Active ingredients Purpose Croton Tiglium 6X HPUS itching, oozing eruptions Rhus Toxicodendron 6X HPUS red, swollen eruptions with itching Xerophyllum 6X HPUS itching, stinging “HPUS” indicates the active ingredients are in the official Homeopathic Pharmacopœia of the United States.","Inactive Ingredients Lactose, NF","Directions Adults Dissolve 2-3 tablets under tongue every 2 hours as needed, then 4 times per day. Children 6-12 years 1/2 of adult dose.","Warnings As with any drug, ask a doctor before use if pregnant or nursing. Contact a physician if symptoms persist for 7 days or more. Keep this and all medications out of the reach of children. Do not use if imprinted tamper band is broken or missing. In case of accidental overdose contact a medical professional or Poison Control Center immediately. Hyland’s may also be contacted for emergency information about our products 24 hours a day, 7 days per week at (800) 624-9659."
skin,8809349120118,HUMAN OTC DRUG,OrgaPlus Super Care Balm for combination and oi ly skin type 14g,SUNFLOWER,"NATURE & NATURE CO.,LTD.",91d76267-19a1-41fd-b1bb-c212c33fa582,1,2017-12-14,PURPOSE Purpose: Skin moisturizing,uses uses: helps prevent and relieve skin dryness.,ACTIVE INGREDIENT Active ingredients: Helianthus Annuus (Sunflower) Seed Oil 56.59%,"INACTIVE INGREDIENT Inactive ingredients: Beeswax, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Theobroma Grandiflorum Seed Butter, Citrus Aurantium Dulcis (Orange) Peel Oil, Tocopherol, Orbignya Oleifera Seed Oil, Persea Gratissima (Avocado) Oil, Rubus Chamaemorus Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Butylene Glycol, Propolis Extract","Directions Directions: 01. Remove the protective cap and extend the stick outward slightly, apply directly to the face and body. 02. Gently pat to fully absorb into skin.",WARNINGS Warnings: -For external use only -Protect the product in the container from excessive heat and direct sun light. -When using this product keep out of eyes. -Stop use and ask a doctor if rash occurs.
skin,808829113662,HUMAN OTC DRUG,Lucky Supersoft Medicated Body Triple Action,MENTHOL ZINC OXIDE,Delta Brands Inc,603bd721-e4c7-feee-e053-2a91aa0aa315,1,2017-12-13,Purpose Anti-itch Skin protectant,uses temporarily relieves the pain and itch associated with: ■ minor cuts ■ sunburn ■ insect bites ■ scrapes ■ minor burns ■ minor skin irritations,Active Ingredient Menthol 0.15% Zinc oxide 1.0%,"Inactive ingredients acacia seyal gum, eucalyptol, methyl salicylate, salicylic acid, sodium bicarbonate, thymol, tricalcium phsphate, zea mays (corn) starch, zinc stearate",Directions ■ for aduts and children 2 years and older: apply freely up to 3 or 4 times daily ■ for children under 2 years: ask a doctor ■ for best results dry skin thoroughly before applying​,Warnings For external use only
skin,311917170459,HUMAN OTC DRUG,Walgreens Moisture Barrier,"MENTHOL, AND ZINC OXIDE",Walgreen Company,6043a2a4-e76c-290e-e053-2a91aa0ae99c,3,2017-12-13,Uses A moisture barrier that prevents & helps heal skin irritations from: urine diarrhea perspiration fistula drainage feeding tube site leakage wound drainage (peri-wound skin) minor burns cuts scrapes itching,"directions cleanse skin gently with mild skin cleanser. pat dry or allow to air dry. apply a thin layer of the ointment to irritated skin 2-4 times daily, or after each incontinent episode or diaper change to promote comfort and long lasting protection.",Active ingredients Purpose Menthol 0.44%......................................................... External analgesic/ Anti-itch Zinc Oxide 20.6%..................................................... Skin protectant/ Anorectal astringent,"Inactive ingredients butylated hydroxytoluene, calamine, cetyl esters, glycerin, lanolin, phenol sodium, bicarbonate, thymol, white petrolatum","DISTRIBUTED BY: WALGREEN CO. 200 WILMOT RD. DEERFIELD, IL 60015 MADE IN KOREA",Warnings: For external use only Not for deep or puncture wounds Avoid contact with eyes
acne,354973523029,HUMAN OTC DRUG,KALI SULPH,POTASSIUM SULFATE,Hyland's,604147ed-8347-386e-e053-2a91aa0a0c42,2,2017-12-13,Relief of symptoms of the common cold. Relief of symptoms of pimples and blemishes associated with common acne.,indications relief of symptoms of the common cold. relief of symptoms of pimples and blemishes associated with common acne.,"FORMULA Kali Sulphuricum 6X HPUS In a base of Acacia Gum, Lactose N.F.","In a base of Acacia Gum, Lactose N.F.",DIRECTIONS Adults & Children ages 6 - 12: 4 tablets. Children ages 2 - 6: 2 tablets. Dissolve under tongue 3 times a day. Use more frequently (every 15 minutes for up to 8 doses) with acute conditions.,"Warnings Do not use if imprinted cap band is broken or missing. If symptoms persist for more than seven days or worsen, contact a licensed health care provider. Discontinue use if symptoms are accompanied by a high fever (over 101° F). If you are pregnant or nursing, seek the advice of a licensed health care provider before using this product. Keep this and all medications out of the reach of children."
skin,50428379240,HUMAN OTC DRUG,CVS HYDROCORTISONE WITH ALOE,HYDROCORTISONE,CVS PHARMACY,602e0dc8-afe1-06b0-e053-2991aa0afdc7,4,2017-12-12,"Uses for the temporary relief of itching associated with minor skin irritations, inflammation and rashes due to: eczema seborrheic dermatitis psoriasis insect bites poison ivy, oak, sumac soaps detergents cosmetics jewelry external genital, feminine and anal itching","directions for adults and children 2 years of age and older: apply to affected area not more than 3 to 4 times daily children under 2 years of age: do not use, consult a doctor for external anal itching users adults: when practical, cleanse affected area with mild soap and warm water and rinse thoroughly gently dry by patting or blotting with toilet tissue or a soft cloth before application of this product children under 12 years of age: consult a doctor",Active ingredient Purpose Hydrocortisone 0.5%.................................................................Anti-itch,"Inactive ingredients Aloe Vera Gel, Butylated Hydroxytoluene, Cetanol, Liquid Paraffin, Methylparaben, Polyonyethylene Cetylether, Propylene Glycol, Propylparaben, Purified Water, Sorbitan Monostearate, Stearyl Alcohol","Distributed by: CVS Pharmacy, Inc. One CVS Drive, Woonsocket, RI 02895 www.cvs.com Made in Korea",Warnings for external use only avoid contact with eyes
skin,96295106084,HUMAN OTC DRUG,LEADER ANTI ITCH MAXIMUM STRENGTH,"DIPHENHYDRAMINE HYDROCHLORIDE, ZINC ACETATE",CARDINAL HEALTH,601af339-4d49-e38c-e053-2991aa0a9f00,2,2017-12-11,"Uses temporarily relieves pain and itching associated with insect bites minor burns sunburn minor skin irritations minor cuts scrapes rashes due to poison ivy, poison oak, and poison sumac Dries the oozing and weeping of poison ivy, poison oak and poison sumac",directions do not use more than directed adults and children 2 years of age and older: apply to affected area no more than 3 to 4 times daily children under 2 years of age: ask a doctor,Active ingredients Purpose Diphenhydramine Hydrochloride 2%....................................................Topical analgesic Zinc acetate 0.1%.............................................................................Skin protectant,"Inactive ingredients cetyl alcohol, diazolidinyl urea, methylparaben, polyethylene glycol monostearate 1000, propylene glycol, propylparaben, and purified water","DISTRIBUTED BY CARDINAL HEALTH DULIN, OHIO 43017 CIN 2372134 www.myleader.com 1-800-200-6313",Warnings For external use only.
skin,764302270003,HUMAN OTC DRUG,AFRICAN BLACK ACNE-PRONE FACE AND BODY BAR,"FUCUS VESICULOSUS, CENTELLA ASIATICA, MELISSA OFFICINALIS, ALOE",Sundial Group LLC,5fc5dbad-9813-050c-e053-2a91aa0ae756,1,2017-12-07,Fucus Vesiculosus Extract (Tinc) - Reduces sebaceous excretions Centella Asiatica Extract (Tinc) - Reduces mild skin inflammation Melissa Officinalis Extract (Tinc) - Reduces irritation Aloe Socotrina Extract (1X) - Anti bacterial,uses: homeopathic facial cleansing bar for acne prone skin,Fucus Vesiculosus Extract (Tinc) - Reduces sebaceous excretions Centella Asiatica Extract (Tinc) - Reduces mild skin inflammation Melissa Officinalis Extract (Tinc) - Reduces irritation Aloe Socotrina Extract (1X) - Anti bacterial,"Inactive ingredients: Sodium Palmate, Sodium Palm Kernelate, Water, Glycerin, Fragrance (Parfum), Carbon, Colloidal Oatmeal, Avena Sativa (Oat) Kernel Flour, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Sodium Gluconate, Butyrospermum Parkii (Shea) Butter*♥, Alcohol, Salix Alba (Willow) Bark Extract. *Certified Organic Ingredient. ♥Fair Trade Ingredient",Directions: ■ Wet bar to create a lather and massage into face using circular motions. Rinse thoroughly.,"■ For external use only ■ Avoid contact with eyes ■ If pregnant or breastfeeding, ask a health professional before use. ■ If symptoms worsen or persist, consult a physician. ■ Discontinue use if skin rash develops.. Keep out of reach of children. ■ If swallowed, get medical help or contact a Poison Control Center right away."
skin,354973203327,HUMAN OTC DRUG,CALC FLUOR,CALCIUM FLUORIDE,Hyland's,5f9dcedd-a227-bb1d-e053-2a91aa0a9d0c,2,2017-12-05,"For Colds, Hemorrhoids, Chapped Skin INDICATIONS Relief of symptoms of headcolds with thick, greenish discharge. Relieves the symptoms of itching and burning pains due to hemorrhoids. Relieves the symptoms of chapped and cracked skin.","indications relief of symptoms of headcolds with thick, greenish discharge. relieves the symptoms of itching and burning pains due to hemorrhoids. relieves the symptoms of chapped and cracked skin.","Calcarea Fluorica 6X HPUS In a base of Acacia Gum, Lactose N.F. “HPUS” indicates that the active ingredients are in the official Homeopathic Pharmacopœia of the United States.","In a base of Acacia Gum, Lactose N.F.",DIRECTIONS Adults & Children ages 6 - 12: 4 tablets. Children ages 2 - 6: 2 tablets. Dissolve under tongue 3 times a day. Use more frequently (every 15 minutes for up to 8 doses) with acute conditions.,"Warnings Do not use if imprinted cap band is broken or missing. If symptoms persist for more than 7 days or worsen, contact a licensed health care provider. If you are pregnant or nursing, seek the advice of a licensed health care provider before using this product. Keep all medications out of the reach of children."
skin,676979830025,HUMAN OTC DRUG,Medicated Body,MENTHOL AND ZINC OXIDE,Universal Distribution Center LLC,5f86e792-3255-4ee6-e053-2991aa0a54a0,1,2017-12-04,Purpose External analgesic Skin protectant,"uses for the temporary relief of pain and itching associated with: backache minor burns minor skin irritations minor cuts sunburn insect bites ooozing and weeping of poison ivy, poison oak and poison sumac can be dried using universal medicated powder",Active Ingredients Menthol 0.15% Zinc Oxide 1.0%,"Inactive Ingredients Zea mays (corn) starch, sodium bicarbonate, tricalcium phosphate, acacia seyal gum, eucalyptol, methyl salicylate, salicylic acid, thymol, zinc stearate","Directions Adults and children 2 years of age and older: apply to affected area no more than 3 to 4 times daily Children under 2 years of age: consult a doctor For best results, dry area thoroughly before applying",Warnings For external use only.
skin,12277051036,HUMAN OTC DRUG,MG217 Eczema Face,COLLOIDAL OATMEAL,Wisconsin Pharmacal Company,5f3c3d06-3e3f-1f9d-e053-2991aa0a02d1,4,2017-11-30,Purpose Skin Protectant,uses temporarily protects and helps relieve minor skin irritation and itching due to eczema rash dermatitis,Active Ingredient Colloidal Oatmeal (Oat Kernel Flour) 2%,"Inactive ingredients Puriﬁed Water, Cetyl Alcohol, Glycerin, Cetearyl Alcohol, Dicetylphosphate, Ceteth-10 Phosphate, Isopropyl Myristate, Butyrospermum Parkii (Shea Butter), Glucono Delta Lactone, Glyceryl Monolaurate, D-Panthenol, Xanthan Gum, Hydroxypropyl Bispalmitamide MEA, Hydroxyethyl Behenamido-propyl Dimonium Chloride, Palmitic Acid, Conjugated Linoleic Acid, Cholesterol, Euphorbia Cerifera (Candelilla) Wax, Phenoxyethanol, Ethylhexyl Glycerin, Allantoin, Feruloyl Soy Glycerides, Glycyrrhizic Acid, Sodium Benzoate, Sodium Hydroxide, Menthol, Disodium EDTA","Directions Apply as needed, especially after bathing. Massage thoroughly into skin as colloidal oatmeal is slow to absorb.",For external use only
cough,324286162628,HUMAN OTC DRUG,VAPOREX,"CAMPHOR (SYNTHETIC), EUCALYPTUS OIL, AND MENTHOL","DLC Laboratories, Inc.",d633f94b-838f-46e0-a89e-8ab65301fe2b,2,2017-11-29,Active Ingredients Purposes Camphor 4.8% Cough suppressant & topical analgesic Eucalyptus Oil 1.2% Cough suppressant Menthol 2.6% Cough suppressant & topical analgesic,"uses on chest and throat, for the temporary relief of cough due to the common cold on muscles and joints, for the temporary relief of minor aches and pains",Active Ingredients Purposes Camphor 4.8% Cough suppressant & topical analgesic Eucalyptus Oil 1.2% Cough suppressant Menthol 2.6% Cough suppressant & topical analgesic,"Inactive ingredients cedarleaf oil, nutmeg oil, paraffin wax, petrolatum, thymol, turpentine oil","Directions See important warnings under ""When using this product."" adults and children 2 years and over: For cough suppression rub a thick layer on throat and chest cover with a warm, dry cloth if desired clothing should be loose about throat and chest to help vapors reach the nose and mouth use up to three times daily or as directed by a doctor. For minor aches and pains of muscles and joints apply to affected area not more than 3 to 4 times daily Children under 2 years: do not use","Warnings For external use only; avoid contact with eyes. Do not use by mouth with tight bandages in nostrils on wounds or damaged skin Ask a doctor before use if you have cough that occurs with too much phlegm (mucus) persistent or chronic cough such as occurs with smoking, asthma or emphysema When using this product, do not heat microwave add to hot water or any container where heating water. May cause splattering and result in burns. Stop use and ask a doctor if muscle aches and pains worsen or persist for more than 7 days or clear up and occur again within a few days. cough lasts more than 7 days, comes back, or occurs with fever, rash, or persistent headache. A persistent cough may be a sign of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center immediately."
cough,639277341761,HUMAN OTC DRUG,Cold and Flu Relief Nighttime,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE","ASSURED / DOLLAR TREE (Greenbrier International, Inc.)",c4661900-6f7a-4e36-9c47-c5444e81e824,2,2017-11-08,Purposes Pain reliever/fever reducer Cough suppressant Antihistamine,uses temporarily relieves these common cold/flu symptoms: headache minor aches and pains sore throat runny nose and sneezing fever cough due to minor throat and bronchial irritation,Active ingredients (in each 30 mL) Acetaminophen 650 mg Dextromethorphan HBr 30 mg Doxylamine succinate 12.5 mg,"Inactive ingredients acesulfame potassium, alcohol, citric acid, D&C yellow #10, FD&C green #3, FD&C yellow #6,, flavor,high fructose corn syrup, polyethylene glycol, propylene glycol, purified water, saccharin sodium, sodium citrate","Directions do not take more than directed (see Overdose warning) do not take more than 4 doses in any 24-hours period measure only with dosing cup provided. Do not use any other dosing device. mL= milliliter keep dosing cup with product adults and children 12 years and over: 30 mL every 6 hours children under 12 years of age: do not use When using other Day Time or Night Time products, carefully read each label to ensure correct dosing","Warnings Liver warning: This product contains acetaminophen. Severe liver damage may occur if you take more than 4,000 doses of acetaminophen in 24 hours with other drugs containing acetaminophen 3 or more alcoholic drinks every day while using this product Allergy alert : Acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning : If sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. if you are now taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson’s disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product. Ask a doctor before use if you have liver disease glaucoma a breathing problem or chronic cough that that lasts or as occurs with smoking, asthma, chronic bronchitis, or emphysema trouble urinating due to an enlarged prostate gland cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if you are taking sedatives or tranquilizers the blood thinning drug warfarin When using this product excitability may occur, especially in children marked drowsiness may occur avoid alcoholic drinks be careful when driving a motor vehicle or operating machinery alcohol, sedatives and tranquilizers may increase drowsiness Stop use and ask a doctor if pain or cough gets worse or lasts more than 7 days fever gets worseor lasts more than 3 days redness or swelling is present new symptoms occur cough comes back or occurs with rash or headache that lasts. These could be signs of a serious condition. If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. Overdose warning : Taking more than the recommended dose (overdose) may cause liver damage. In case of overdose, get medical help or contact a Poison Control Center (1-800-222-1222) right away. Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
acne,812459022027,HUMAN OTC DRUG,Glossier solution exfoliating skin perfector,GLOSSIER SOLUTION EXFOLIATING SKIN PERFECTOR,Glossier Inc.,5cd93804-fd4c-5f8b-e053-2991aa0a7989,2,2017-10-31,Purpose Acne Treatment,uses • for the treatment/management of acne • penetrates pores to reduce acne • helps prevent new acne from forming,Active Ingredients Salicylic Acid 0.5%,"Inactive Ingredients Aqua/Water/Eau, Sodium Hydroxide, Lactic Acid, Glycolic Acid, Gluconolactone, Propanediol, Ethoxydiglycol, Magnesium Chloride, Glycereth-7 Trimethyl Ether, Niacinamide, Betaine, Inositol, Citric Acid, Glycerin, Phytic Acid, Pentylene Glycol, PEG-60 Hydrogenated Castor Oil, Caprylyl Glycol, Ethylhexylglycerin, Parfum/Fragrance, PEG-8, Aloe Barbadensis Leaf Juice, Acetic Acid, Potassium Hydroxide.","Directions • clean the skin thoroughly before applying this product • cover the entire affected area with a thin layer one to three times daily • because excessive drying of the skin may occur, start with one application daily, then gradually increase to two or three times daily if needed or as directed by a doctor • if bothersome dryness or peeling occurs, reduce application to once a day or every other day","Warnings For external use only When using this product • avoid contact with the eyes • if contact occurs, rinse thoroughly with water • skin irritation and dryness are more likely to occur when using another topical acne product at the same time. If irritation occurs, use only one product at a time Stop use and ask a doctor • if you develop severe irritation, burning, or itching of the skin • for more severe cases, and/or if improvement is not apparent within 6-8 weeks, consult a health care professional • if you develop hives, swelling of eyes and mouth, blistering, or dif culty breathing, get medical help right away Sunburn Alert: This product contains an alpha hydroxy acid (AHA) that may increase your skin’s sensitivity to the sun and particularly the possibility of sunburn. Use a sunscreen, wear protective clothing, and limit sun exposure while using this product and for a week afterwards."
cough,300450161048,HUMAN OTC DRUG,Childrens TYLENOL COLD plus COUGH plus RUNNY NOSE,"ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, AND DEXTROMETHORPHAN HYDROBROMIDE","Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division",290e8323-2ae1-498d-9984-ccd2252a93a7,2,2017-10-26,Active ingredients (in each 5 mL) Purposes Acetaminophen 160 mg Pain reliever/fever reducer Chlorpheniramine maleate 1 mg Antihistamine Dextromethorphan HBr 5 mg Cough suppressant,uses temporarily relieves the following cold/flu symptoms: minor aches and pains headache sore throat sneezing and runny nose cough temporarily reduces fever,Active ingredients (in each 5 mL) Purposes Acetaminophen 160 mg Pain reliever/fever reducer Chlorpheniramine maleate 1 mg Antihistamine Dextromethorphan HBr 5 mg Cough suppressant,"Inactive ingredients anhydrous citric acid, D&C red no. 33, FD&C blue no. 1, FD&C red no. 40, flavors, glycerin, microcrystalline cellulose and carboxymethylcellulose sodium, purified water, sodium benzoate, sorbitol solution, sucrose, xanthan gum","Directions this product does not contain directions or complete warnings for adult use do not give more than directed (see overdose warning ) shake well before using mL = milliliter find right dose on chart below. If possible, use weight to dose; otherwise, use age. remove the child protective cap and squeeze your child's dose into the dosing cup repeat dose every 4 hours, while symptoms last do not give more than 5 times in 24 hours Weight (lb) Age (yr) Dose (mL) under 36 under 4 years do not use 36-47 4 to 5 years do not use unless directed by a doctor 48-95 6 to 11 years 10 mL Attention: use only enclosed dosing cup specifically designed for use with this product. Do not use any other dosing device.","Warnings Liver warning This product contains acetaminophen. Severe liver damage may occur if your child takes more than 5 doses in 24 hours, which is the maximum daily amount with other drugs containing acetaminophen Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: if sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. to make a child sleepy in a child who is taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your child's prescription drug contains an MAOI, ask a doctor or pharmacist before giving this product. if your child has ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if your child has liver disease a breathing problem such as chronic bronchitis glaucoma persistent or chronic cough such as occurs with asthma cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if your child is taking the blood thinning drug warfarin taking sedatives or tranquilizers When using this product do not exceed recommended dose (see overdose warning ) marked drowsiness may occur sedatives and tranquilizers may increase drowsiness excitability may occur, especially in children Stop use and ask a doctor if pain or cough gets worse or lasts more than 5 days fever gets worse or lasts more than 3 days new symptoms occur redness or swelling is present cough comes back or occurs with rash or headache that lasts These could be signs of a serious condition. Keep out of reach of children. Overdose warning In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
cough,300450169044,HUMAN OTC DRUG,Childrens TYLENOL COLD PLUS COUGH PLUS SORE THROAT,ACETAMINOPHEN AND DEXTROMETHORPHAN HYDROBROMIDE,"Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division",5ce15358-3109-4722-8c14-2ef1526756c5,2,2017-10-24,Active ingredients (in each 5 mL) Purposes Acetaminophen 160 mg Pain reliever/fever reducer Dextromethorphan HBr 5 mg Cough suppressant,uses temporarily relieves the following cold/flu symptoms: minor aches and pains headache sore throat cough temporarily reduces fever,Active ingredients (in each 5 mL) Purposes Acetaminophen 160 mg Pain reliever/fever reducer Dextromethorphan HBr 5 mg Cough suppressant,"Inactive ingredients anhydrous citric acid, D&C red no. 33, FD&C red no. 40, flavors, glycerin, microcrystalline cellulose and carboxymethylcellulose sodium, purified water, sodium benzoate, sorbitol solution, sucrose, xanthan gum","Directions this product does not contain directions or complete warnings for adult use do not give more than directed (see overdose warning ) shake well before using mL = milliliter find right dose on chart below. If possible, use weight to dose; otherwise, use age. remove the child protective cap and squeeze your child's dose into the dosing cup repeat dose every 4 hours, while symptoms last do not give more than 5 times in 24 hours Weight (lb) Age (yr) Dose (mL) under 36 under 4 years do not use 36-47 4 to 5 years 5 mL 48-95 6 to 11 years 10 mL Attention: use only enclosed dosing cup specifically designed for use with this product. Do not use any other dosing device.","Warnings Liver warning This product contains acetaminophen. Severe liver damage may occur if your child takes more than 5 doses in 24 hours, which is the maximum daily amount with other drugs containing acetaminophen Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include: skin reddening blisters rash If a skin reaction occurs, stop use and seek medical help right away. Sore throat warning: if sore throat is severe, persists for more than 2 days, is accompanied or followed by fever, headache, rash, nausea, or vomiting, consult a doctor promptly. Do not use with any other drug containing acetaminophen (prescription or nonprescription). If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. in a child who is taking a prescription monoamine oxidase inhibitor (MAOI) (certain drugs for depression, psychiatric or emotional conditions, or Parkinson's disease), or for 2 weeks after stopping the MAOI drug. If you do not know if your child's prescription drug contains an MAOI, ask a doctor or pharmacist before giving this product. if your child has ever had an allergic reaction to this product or any of its ingredients Ask a doctor before use if your child has liver disease persistent or chronic cough such as occurs with asthma cough that occurs with too much phlegm (mucus) Ask a doctor or pharmacist before use if your child is taking the blood thinning drug warfarin When using this product do not exceed recommended dose (see overdose warning ) Stop use and ask a doctor if pain or cough gets worse or lasts more than 5 days fever gets worse or lasts more than 3 days new symptoms occur redness or swelling is present cough comes back or occurs with rash or headache that lasts These could be signs of a serious condition. Keep out of reach of children. Overdose warning In case of overdose, get medical help or contact a Poison Control Center right away. (1-800-222-1222) Quick medical attention is critical for adults as well as for children even if you do not notice any signs or symptoms."
skin,681131223386,HUMAN OTC DRUG,equate ECZEMA RELIEF,COLLOIDAL OATMEAL,Wal-Mart Stores Inc,8d8aa80b-3a05-4384-b4e0-01826a36236b,1,2017-10-23,Purpose Skin protectant,uses temporarily protects and helps relieve minor skin irritation and itching due to •eczema •rashes,Active ingredient Colloidal oatmeal 2%,"Inactive ingredients water, glycerin, propanediol, dimethicone, petrolatum, glyceryl stearate, cetyl alcohol, aloe barbadensis leaf juice, jojoba esters, polyacrylamide, C13-14 isparaffin, laureth-7, butyrosperum parkii (shea) butter extract, avena sativa (oat) kernel extract, bisabolol, zingiber officinale (ginger) root extract, c10-30 cholesterol/ lanosterol esters, ceramide, NG, hydrolyzed jojoba esters, tocopheryl acetate, magnesium ascorbyl phosphate, panthenol, ethylhexylglycerin, c12-15 alkyl benzoate, tribehenin, potassium hydroxide, disodium EDTA, phenoxyethanol, PEG-10 phytosterol, palmitoyl hexapeptide- 12",Directions apply to affected areas of skin as needed,Warnings For external use only . When using this product •avoid contact with eyes Stop use and ask a doctor if condition worsens •symptoms persist for more than 7 days or clear up and occur again within a few days.
cough,737278068141,HUMAN OTC DRUG,Radiation,"CHELIDONIUM MAJUS, FUCUS VESICULOSUS, HYPERICUM PERFORATUM, SULPHUR, CESIUM CHLORIDE, GLANDULA SUPRARENALIS SUIS, THYROIDINUM (SUIS), STRONTIUM CARBONICUM, CADMIUM IODATUM, CADMIUM SULPHURICUM, X-RAY, RADIUM BROMATUM, URANIUM NITRICUM, ELECTRICITAS, PLUTONIUM NITRICUM","The Wellness Center for Research and Education, Inc.",05b13696-c2ab-4590-b884-dd2341617548,2,2017-10-20,"INDICATIONS: For temporary relief of fatigue, weakness, burning skin eruptions, itching, trembling of limbs with numbness, cough with phlegm, fever, sticking pains in head and face. Vomiting, warty growths.","indications: for temporary relief of fatigue, weakness, burning skin eruptions, itching, trembling of limbs with numbness, cough with phlegm, fever, sticking pains in head and face. vomiting, warty growths.","ACTIVE INGREDIENTS: Chelidonium Majus 3X, Fucus Vesiculosus 3X, Hypericum Perforatum 6X, Sulphur 6X, Cesium Chloride 6X, 30C, 200C, Glandula Suprarenalis Suis 8X, Thyroidinum (Suis) 8X, Strontium Carbonicum 8X, 12X, 30X, Cadmium Iodatum 8X, 15X, 30X, Cadmium Sulphuricum 8X, 15X, 30X, X-Ray 8X, 60X, 200X, 30C, Radium Bromatum 15X, Uranium Nitricum 8C, 30C, 60C, Electricitas 30C, Plutonium Nitricum 30C.","INACTIVE INGREDIENTS: Demineralized Water, 25% Ethanol","DIRECTIONS: 5 drops orally, three times daily. Consult a physician for use in children under 12 years of age.","WARNINGS: If pregnant or breast-feeding, ask a health professional before use. Keep out of reach of children. In case of overdose, get medical help or contact a Poison Control Center right away. Do not use if tamper evident seal is broken or missing. Store in a cool, dry place."
